End Date,End Time,M_DIR,Status/units,M_SPED,Status/units,M_T,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,NV25,Status/units,O3,Status/units,PM25,Status/units,V25,Status/units
01/01/2015,01:00:00,216.1,P deg,7.1,P ms-1,4.7,P degC,1.46766,R ugm-3,19.95311,R ugm-3,22.20349,R ugm-3,15.5,R ugm-3 (TEOM FDMS),45.33765,R ugm-3,18.6,R ugm-3 (TEOM FDMS),3.1,R ugm-3 (TEOM FDMS)
01/01/2015,02:00:00,218.9,P deg,7.3,P ms-1,5.1,P degC,1.39614,R ugm-3,28.97055,R ugm-3,31.11128,R ugm-3,13.9,R ugm-3 (TEOM FDMS),40.28454,R ugm-3,17.2,R ugm-3 (TEOM FDMS),3.3,R ugm-3 (TEOM FDMS)
01/01/2015,03:00:00,221.5,P deg,7.6,P ms-1,5.7,P degC,1.77179,R ugm-3,26.34278,R ugm-3,29.05948,R ugm-3,11.4,R ugm-3 (TEOM FDMS),36.63457,R ugm-3,14.6,R ugm-3 (TEOM FDMS),3.2,R ugm-3 (TEOM FDMS)
01/01/2015,04:00:00,223.9,P deg,7.4,P ms-1,6.6,P degC,1.12787,R ugm-3,7.24073,R ugm-3,8.9701,R ugm-3,9.1,R ugm-3 (TEOM FDMS),55.63712,R ugm-3,12.8,R ugm-3 (TEOM FDMS),3.7,R ugm-3 (TEOM FDMS)
01/01/2015,05:00:00,223.6,P deg,7.3,P ms-1,7.2,P degC,0.80513,R ugm-3,9.21586,R ugm-3,10.45038,R ugm-3,9.5,R ugm-3 (TEOM FDMS),54.63728,R ugm-3,13.1,R ugm-3 (TEOM FDMS),3.6,R ugm-3 (TEOM FDMS)
01/01/2015,06:00:00,221.1,P deg,7.6,P ms-1,7.9,P degC,0.48302,R ugm-3,10.61581,R ugm-3,11.35643,R ugm-3,9.8,R ugm-3 (TEOM FDMS),51.53147,R ugm-3,13.8,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
01/01/2015,07:00:00,213.7,P deg,7.8,P ms-1,8.2,P degC,0.53665,R ugm-3,13.49221,R ugm-3,14.31506,R ugm-3,8.3,R ugm-3 (TEOM FDMS),48.95253,R ugm-3,13.4,R ugm-3 (TEOM FDMS),5.1,R ugm-3 (TEOM FDMS)
01/01/2015,08:00:00,211.3,P deg,8.6,P ms-1,8.5,P degC,0.59029,R ugm-3,8.44751,R ugm-3,9.3526,R ugm-3,9.3,R ugm-3 (TEOM FDMS),54.89921,R ugm-3,12.5,R ugm-3 (TEOM FDMS),3.2,R ugm-3 (TEOM FDMS)
01/01/2015,09:00:00,217.1,P deg,10.4,P ms-1,8.8,P degC,1.0468,R ugm-3,14.61867,R ugm-3,16.22374,R ugm-3,7.4,R ugm-3 (TEOM FDMS),51.7944,R ugm-3,8.3,R ugm-3 (TEOM FDMS),0.9,R ugm-3 (TEOM FDMS)
01/01/2015,10:00:00,221,P deg,10.6,P ms-1,9.2,P degC,1.44999,R ugm-3,10.23092,R ugm-3,12.4542,R ugm-3,5.1,R ugm-3 (TEOM FDMS),56.58458,R ugm-3,7.7,R ugm-3 (TEOM FDMS),2.6,R ugm-3 (TEOM FDMS)
