End Date,End Time,PM10,Status/units,M_DIR,Status/units,M_SPED,Status/units,M_T,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,O3,Status/units,PM25,Status/units
01/01/2022,01:00:00,11.025,R ugm-3 (FIDAS),206.2,P deg,5.3,P ms-1,10.7,P degC,2.36633,R ugm-3,6.174,R ugm-3,9.80232,R ugm-3,47.76375,R ugm-3,8.915,R ugm-3 (Ref.eq)
01/01/2022,02:00:00,7.75,R ugm-3 (FIDAS),205.7,P deg,5.9,P ms-1,10.4,P degC,0.78878,R ugm-3,5.96472,R ugm-3,7.17416,R ugm-3,43.10712,R ugm-3,6.038,R ugm-3 (Ref.eq)
01/01/2022,03:00:00,8.475,R ugm-3 (FIDAS),206,P deg,6.6,P ms-1,10.2,P degC,1.11356,R ugm-3,9.21362,R ugm-3,10.92106,R ugm-3,41.80992,R ugm-3,6.226,R ugm-3 (Ref.eq)
01/01/2022,04:00:00,11.625,R ugm-3 (FIDAS),203.1,P deg,6.2,P ms-1,9.8,P degC,0.41759,R ugm-3,4.52723,R ugm-3,5.16753,R ugm-3,46.00089,R ugm-3,8.231,R ugm-3 (Ref.eq)
01/01/2022,05:00:00,13.55,R ugm-3 (FIDAS),193.8,P deg,5.2,P ms-1,9.3,P degC,0.34799,R ugm-3,3.30211,R ugm-3,3.83569,R ugm-3,47.69723,R ugm-3,9.481,R ugm-3 (Ref.eq)
01/01/2022,06:00:00,12.45,R ugm-3 (FIDAS),198.8,P deg,5.4,P ms-1,9.3,P degC,0.174,R ugm-3,2.92962,R ugm-3,3.19641,R ugm-3,49.29379,R ugm-3,8.939,R ugm-3 (Ref.eq)
01/01/2022,07:00:00,12.325,R ugm-3 (FIDAS),203.6,P deg,7.1,P ms-1,9.8,P degC,0.34799,R ugm-3,4.58068,R ugm-3,5.11425,R ugm-3,48.24605,R ugm-3,8.231,R ugm-3 (Ref.eq)
01/01/2022,08:00:00,11.875,R ugm-3 (FIDAS),205.5,P deg,7.7,P ms-1,9.9,P degC,0.48718,R ugm-3,5.8589,R ugm-3,6.60591,R ugm-3,46.5497,R ugm-3,7.783,R ugm-3 (Ref.eq)
01/01/2022,09:00:00,11.55,R ugm-3 (FIDAS),202.8,P deg,7.7,P ms-1,9.9,P degC,0.90477,R ugm-3,6.28408,R ugm-3,7.67138,R ugm-3,45.70153,R ugm-3,7.547,R ugm-3 (Ref.eq)
01/01/2022,10:00:00,12.575,R ugm-3 (FIDAS),206.7,P deg,8,P ms-1,10.6,P degC,1.60075,R ugm-3,7.82733,R ugm-3,10.28178,R ugm-3,42.10927,R ugm-3,7.665,R ugm-3 (Ref.eq)
01/01/2022,11:00:00,15.225,R ugm-3 (FIDAS),227.5,P deg,7.4,P ms-1,11.5,P degC,1.80954,R ugm-3,5.53606,R ugm-3,8.31066,R ugm-3,43.2568,R ugm-3,8.278,R ugm-3 (Ref.eq)
01/01/2022,12:00:00,15.9,R ugm-3 (FIDAS),223.6,P deg,6.7,P ms-1,11.3,P degC,3.58429,R ugm-3,7.82253,R ugm-3,13.31836,R ugm-3,42.90755,R ugm-3,9.316,R ugm-3 (Ref.eq)
01/01/2022,13:00:00,17.1,R ugm-3 (FIDAS),216.4,P deg,5.8,P ms-1,11,P degC,2.88831,R ugm-3,8.03731,R ugm-3,12.46599,R ugm-3,43.40648,R ugm-3,10.212,R ugm-3 (Ref.eq)
01/01/2022,14:00:00,20.275,R ugm-3 (FIDAS),211.1,P deg,6.3,P ms-1,11,P degC,3.1319,R ugm-3,7.0778,R ugm-3,11.87998,R ugm-3,47.94669,R ugm-3,11.863,R ugm-3 (Ref.eq)
01/01/2022,15:00:00,21.1,R ugm-3 (FIDAS),213,P deg,6.2,P ms-1,10.7,P degC,3.3059,R ugm-3,6.06518,R ugm-3,11.13415,R ugm-3,50.79057,R ugm-3,12.406,R ugm-3 (Ref.eq)
01/01/2022,16:00:00,22.05,R ugm-3 (FIDAS),213.2,P deg,6.6,P ms-1,10.2,P degC,2.81871,R ugm-3,5.95981,R ugm-3,10.28178,R ugm-3,51.68863,R ugm-3,12.807,R ugm-3 (Ref.eq)
01/01/2022,17:00:00,21.725,R ugm-3 (FIDAS),215.3,P deg,7,P ms-1,9.9,P degC,2.22713,R ugm-3,7.29308,R ugm-3,10.70796,R ugm-3,52.13766,R ugm-3,13.066,R ugm-3 (Ref.eq)
01/01/2022,18:00:00,22.875,R ugm-3 (FIDAS),218.3,P deg,6.5,P ms-1,9.6,P degC,3.75828,R ugm-3,8.03521,R ugm-3,13.79782,R ugm-3,50.94024,R ugm-3,13.538,R ugm-3 (Ref.eq)
01/01/2022,19:00:00,23.425,R ugm-3 (FIDAS),216.5,P deg,6.3,P ms-1,9.2,P degC,1.63555,R ugm-3,17.20337,R ugm-3,19.71118,R ugm-3,45.30239,R ugm-3,14.198,R ugm-3 (Ref.eq)
01/01/2022,20:00:00,23.25,R ugm-3 (FIDAS),214.1,P deg,6.3,P ms-1,9.1,P degC,2.95791,R ugm-3,20.50313,R ugm-3,25.03852,R ugm-3,42.00949,R ugm-3,14.316,R ugm-3 (Ref.eq)
01/01/2022,21:00:00,22.425,R ugm-3 (FIDAS),213.2,P deg,6.5,P ms-1,9.3,P degC,0.62638,R ugm-3,14.38232,R ugm-3,15.34275,R ugm-3,46.10067,R ugm-3,13.915,R ugm-3 (Ref.eq)
01/01/2022,22:00:00,20.5,R ugm-3 (FIDAS),218.9,P deg,7.3,P ms-1,9.9,P degC,1.94874,R ugm-3,15.71096,R ugm-3,18.69898,R ugm-3,47.2482,R ugm-3,13.09,R ugm-3 (Ref.eq)
01/01/2022,23:00:00,19.225,R ugm-3 (FIDAS),222.7,P deg,6.9,P ms-1,10,P degC,3.0971,R ugm-3,13.41742,R ugm-3,18.16625,R ugm-3,51.48906,R ugm-3,12.123,R ugm-3 (Ref.eq)
01/01/2022,24:00:00,19,R ugm-3 (FIDAS),228.2,P deg,6.3,P ms-1,10.1,P degC,0.83517,R ugm-3,8.09555,R ugm-3,9.37613,R ugm-3,55.03143,R ugm-3,11.863,R ugm-3 (Ref.eq)
02/01/2022,01:00:00,19.075,R ugm-3 (FIDAS),210.2,P deg,5.2,P ms-1,9.7,P degC,0.46459,R ugm-3,8.8174,R ugm-3,9.52975,R ugm-3,53.21867,R ugm-3,11.816,R ugm-3 (Ref.eq)
02/01/2022,02:00:00,17.4,R ugm-3 (FIDAS),204.3,P deg,5.1,P ms-1,9.2,P degC,0.32521,R ugm-3,7.11093,R ugm-3,7.60958,R ugm-3,57.8753,R ugm-3,10.684,R ugm-3 (Ref.eq)
02/01/2022,03:00:00,15.3,R ugm-3 (FIDAS),213.2,P deg,6.2,P ms-1,9.6,P degC,0.45297,R ugm-3,9.22635,R ugm-3,9.9209,R ugm-3,55.82971,R ugm-3,9.741,R ugm-3 (Ref.eq)
02/01/2022,04:00:00,13.775,R ugm-3 (FIDAS),233.1,P deg,6.7,P ms-1,10,P degC,0.59235,R ugm-3,6.23906,R ugm-3,7.14732,R ugm-3,60.07057,R ugm-3,9.057,R ugm-3 (Ref.eq)
02/01/2022,05:00:00,9.95,R ugm-3 (FIDAS),239.3,P deg,6.4,P ms-1,10.2,P degC,0.20906,R ugm-3,3.99983,R ugm-3,4.32039,R ugm-3,67.30498,R ugm-3,6.132,R ugm-3 (Ref.eq)
02/01/2022,06:00:00,2.125,R ugm-3 (FIDAS),243.5,P deg,7.2,P ms-1,10,P degC,0.45297,R ugm-3,1.97236,R ugm-3,2.66691,R ugm-3,73.8409,R ugm-3,1.038,R ugm-3 (Ref.eq)
02/01/2022,07:00:00,1.775,R ugm-3 (FIDAS),249.5,P deg,4.9,P ms-1,9,P degC,0.8711,R ugm-3,2.55802,R ugm-3,3.89369,R ugm-3,70.84735,R ugm-3,0.896,R ugm-3 (Ref.eq)
02/01/2022,08:00:00,1.65,R ugm-3 (FIDAS),235.4,P deg,3.9,P ms-1,7.9,P degC,1.42861,R ugm-3,4.63679,R ugm-3,6.82729,R ugm-3,68.20305,R ugm-3,0.849,R ugm-3 (Ref.eq)
02/01/2022,09:00:00,2.45,R ugm-3 (FIDAS),231.7,P deg,5.1,P ms-1,7.5,P degC,2.75268,R ugm-3,11.88741,R ugm-3,16.10813,R ugm-3,54.5325,R ugm-3,0.967,R ugm-3 (Ref.eq)
02/01/2022,10:00:00,3.5,R ugm-3 (FIDAS),234.2,P deg,6.6,P ms-1,7.7,P degC,3.2405,R ugm-3,9.53929,R ugm-3,14.50798,R ugm-3,55.63014,R ugm-3,1.816,R ugm-3 (Ref.eq)
02/01/2022,11:00:00,8.225,R ugm-3 (FIDAS),236.3,P deg,7.9,P ms-1,8.3,P degC,3.62378,R ugm-3,8.89826,R ugm-3,14.45465,R ugm-3,59.77122,R ugm-3,4.41,R ugm-3 (Ref.eq)
02/01/2022,12:00:00,7.225,R ugm-3 (FIDAS),235.4,P deg,8.2,P ms-1,8.5,P degC,6.13255,R ugm-3,11.02541,R ugm-3,20.42852,R ugm-3,61.51745,R ugm-3,4.104,R ugm-3 (Ref.eq)
02/01/2022,13:00:00,6.475,R ugm-3 (FIDAS),234.5,P deg,8.6,P ms-1,8.7,P degC,5.67958,R ugm-3,10.49318,R ugm-3,19.20174,R ugm-3,62.01638,R ugm-3,3.231,R ugm-3 (Ref.eq)
