End Date,End Time,PM10,Status/units,M_DIR,Status/units,M_SPED,Status/units,M_T,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,O3,Status/units,PM25,Status/units
01/01/2021,01:00:00,29.55,R ugm-3 (FIDAS),292.2,P deg,1.9,P ms-1,-2.5,P degC,17.70842,R ugm-3,54.94753,R ugm-3,82.10005,R ugm-3,3.45921,R ugm-3,26.085,R ugm-3 (Ref.eq)
01/01/2021,02:00:00,28.225,R ugm-3 (FIDAS),296.2,P deg,2.1,P ms-1,-2.8,P degC,2.08575,R ugm-3,40.20032,R ugm-3,43.39843,R ugm-3,13.70381,R ugm-3,25.189,R ugm-3 (Ref.eq)
01/01/2021,03:00:00,24.625,R ugm-3 (FIDAS),305.3,P deg,2.3,P ms-1,-3,P degC,1.25758,R ugm-3,22.54206,R ugm-3,24.47033,R ugm-3,25.59485,R ugm-3,22.123,R ugm-3 (Ref.eq)
01/01/2021,04:00:00,22.5,R ugm-3 (FIDAS),315.4,P deg,2.6,P ms-1,-3.1,P degC,0.92018,R ugm-3,21.74429,R ugm-3,23.15522,R ugm-3,24.44733,R ugm-3,20.778,R ugm-3 (Ref.eq)
01/01/2021,05:00:00,26.85,R ugm-3 (FIDAS),323.2,P deg,2.4,P ms-1,-3.2,P degC,0.73615,R ugm-3,21.41589,R ugm-3,22.54464,R ugm-3,22.45163,R ugm-3,24.882,R ugm-3 (Ref.eq)
01/01/2021,06:00:00,25.3,R ugm-3 (FIDAS),316.1,P deg,1.9,P ms-1,-3.3,P degC,0.82817,R ugm-3,21.50964,R ugm-3,22.77948,R ugm-3,20.30625,R ugm-3,23.208,R ugm-3 (Ref.eq)
01/01/2021,07:00:00,21.025,R ugm-3 (FIDAS),308.2,P deg,2,P ms-1,-2.4,P degC,1.50297,R ugm-3,21.03858,R ugm-3,23.34309,R ugm-3,18.36044,R ugm-3,19.458,R ugm-3 (Ref.eq)
01/01/2021,08:00:00,22.95,R ugm-3 (FIDAS),322,P deg,1.9,P ms-1,-0.9,P degC,1.19624,R ugm-3,22.44825,R ugm-3,24.28245,R ugm-3,14.96775,R ugm-3,21.085,R ugm-3 (Ref.eq)
01/01/2021,09:00:00,21.35,R ugm-3 (FIDAS),321.7,P deg,2.5,P ms-1,0.1,P degC,2.33113,R ugm-3,19.95661,R ugm-3,23.53096,R ugm-3,15.91571,R ugm-3,19.34,R ugm-3 (Ref.eq)
01/01/2021,10:00:00,20,R ugm-3 (FIDAS),330.9,P deg,3,P ms-1,1.1,P degC,6.13455,R ugm-3,20.46546,R ugm-3,29.87164,R ugm-3,15.46668,R ugm-3,17.854,R ugm-3 (Ref.eq)
01/01/2021,11:00:00,21.25,R ugm-3 (FIDAS),337.7,P deg,4.2,P ms-1,1.9,P degC,10.3674,R ugm-3,23.60363,R ugm-3,39.50008,R ugm-3,13.92001,R ugm-3,18.278,R ugm-3 (Ref.eq)
01/01/2021,12:00:00,19.75,R ugm-3 (FIDAS),338.7,P deg,5,P ms-1,2.4,P degC,10.12202,R ugm-3,19.84669,R ugm-3,35.3669,R ugm-3,20.05679,R ugm-3,16.793,R ugm-3 (Ref.eq)
01/01/2021,13:00:00,15.5,R ugm-3 (FIDAS),335.3,P deg,4.9,P ms-1,2.7,P degC,6.68667,R ugm-3,17.92805,R ugm-3,28.1808,R ugm-3,23.84862,R ugm-3,12.854,R ugm-3 (Ref.eq)
01/01/2021,14:00:00,11.7,R ugm-3 (FIDAS),332.4,P deg,5,P ms-1,2.9,P degC,3.40468,R ugm-3,15.96213,R ugm-3,21.18257,R ugm-3,29.88561,R ugm-3,9.198,R ugm-3 (Ref.eq)
01/01/2021,15:00:00,9.45,R ugm-3 (FIDAS),338.9,P deg,5,P ms-1,2.9,P degC,5.36774,R ugm-3,13.42183,R ugm-3,21.65224,R ugm-3,32.03099,R ugm-3,6.863,R ugm-3 (Ref.eq)
01/01/2021,16:00:00,8.725,R ugm-3 (FIDAS),346.8,P deg,5.3,P ms-1,3.1,P degC,5.27572,R ugm-3,15.11287,R ugm-3,23.20219,R ugm-3,32.5798,R ugm-3,6.085,R ugm-3 (Ref.eq)
01/01/2021,17:00:00,8.55,R ugm-3 (FIDAS),343.4,P deg,5.1,P ms-1,3.4,P degC,2.3618,R ugm-3,18.92325,R ugm-3,22.54464,R ugm-3,30.13507,R ugm-3,6.698,R ugm-3 (Ref.eq)
01/01/2021,18:00:00,9.65,R ugm-3 (FIDAS),344.7,P deg,5.1,P ms-1,3.6,P degC,2.3618,R ugm-3,19.06416,R ugm-3,22.68554,R ugm-3,27.54066,R ugm-3,7.665,R ugm-3 (Ref.eq)
01/01/2021,19:00:00,11.625,R ugm-3 (FIDAS),346.8,P deg,5,P ms-1,3.7,P degC,2.0244,R ugm-3,18.83001,R ugm-3,21.93405,R ugm-3,26.34324,R ugm-3,8.962,R ugm-3 (Ref.eq)
01/01/2021,20:00:00,10.325,R ugm-3 (FIDAS),346.5,P deg,4.9,P ms-1,3.7,P degC,2.42315,R ugm-3,17.46712,R ugm-3,21.18257,R ugm-3,26.49292,R ugm-3,8.632,R ugm-3 (Ref.eq)
01/01/2021,21:00:00,9.475,R ugm-3 (FIDAS),339.4,P deg,4.9,P ms-1,3.5,P degC,1.16557,R ugm-3,16.2955,R ugm-3,18.08268,R ugm-3,28.28905,R ugm-3,7.335,R ugm-3 (Ref.eq)
01/01/2021,22:00:00,7.9,R ugm-3 (FIDAS),336.7,P deg,5,P ms-1,3.2,P degC,0.6748,R ugm-3,14.32385,R ugm-3,15.35853,R ugm-3,30.28475,R ugm-3,6.061,R ugm-3 (Ref.eq)
01/01/2021,23:00:00,7.75,R ugm-3 (FIDAS),342.4,P deg,5.2,P ms-1,2.9,P degC,0.6748,R ugm-3,14.65263,R ugm-3,15.68731,R ugm-3,29.73593,R ugm-3,6.132,R ugm-3 (Ref.eq)
01/01/2021,24:00:00,8.45,R ugm-3 (FIDAS),345.6,P deg,5.3,P ms-1,2.3,P degC,0.58278,R ugm-3,13.38468,R ugm-3,14.27827,R ugm-3,30.53421,R ugm-3,6.604,R ugm-3 (Ref.eq)
02/01/2021,01:00:00,7.725,R ugm-3 (FIDAS),329.8,P deg,3.7,P ms-1,-0.8,P degC,0.28649,R ugm-3,11.02904,R ugm-3,11.46832,R ugm-3,33.32819,R ugm-3,6.109,R ugm-3 (Ref.eq)
02/01/2021,02:00:00,6.325,R ugm-3 (FIDAS),337,P deg,3.9,P ms-1,-1.1,P degC,0.4502,R ugm-3,10.46469,R ugm-3,11.15498,R ugm-3,37.45264,R ugm-3,4.835,R ugm-3 (Ref.eq)
02/01/2021,03:00:00,5.55,R ugm-3 (FIDAS),337.7,P deg,3.6,P ms-1,-1.2,P degC,0.36834,R ugm-3,8.64747,R ugm-3,9.21226,R ugm-3,36.67099,R ugm-3,4.505,R ugm-3 (Ref.eq)
02/01/2021,04:00:00,5.275,R ugm-3 (FIDAS),332.4,P deg,3.6,P ms-1,-1.4,P degC,0.6139,R ugm-3,9.49298,R ugm-3,10.43429,R ugm-3,33.57765,R ugm-3,4.198,R ugm-3 (Ref.eq)
02/01/2021,05:00:00,5.95,R ugm-3 (FIDAS),333.3,P deg,3.3,P ms-1,-1.6,P degC,0.52182,R ugm-3,10.76221,R ugm-3,11.56232,R ugm-3,30.98324,R ugm-3,4.623,R ugm-3 (Ref.eq)
02/01/2021,06:00:00,6.475,R ugm-3 (FIDAS),335,P deg,2.9,P ms-1,-2,P degC,3.37647,R ugm-3,13.05933,R ugm-3,18.23651,R ugm-3,28.83787,R ugm-3,5.094,R ugm-3 (Ref.eq)
02/01/2021,07:00:00,5.6,R ugm-3 (FIDAS),331.2,P deg,2.8,P ms-1,-2.3,P degC,3.99037,R ugm-3,19.02722,R ugm-3,25.1457,R ugm-3,25.2955,R ugm-3,4.34,R ugm-3 (Ref.eq)
02/01/2021,08:00:00,6.25,R ugm-3 (FIDAS),321.6,P deg,2.7,P ms-1,-2.6,P degC,6.38459,R ugm-3,34.67366,R ugm-3,44.46323,R ugm-3,12.52302,R ugm-3,4.575,R ugm-3 (Ref.eq)
02/01/2021,09:00:00,7.6,R ugm-3 (FIDAS),315.2,P deg,2.3,P ms-1,-2.9,P degC,26.88895,R ugm-3,46.47528,R ugm-3,87.70443,R ugm-3,6.38624,R ugm-3,6.061,R ugm-3 (Ref.eq)
02/01/2021,10:00:00,8.3,R ugm-3 (FIDAS),312.7,P deg,2.6,P ms-1,-1.7,P degC,28.63857,R ugm-3,43.27555,R ugm-3,87.18742,R ugm-3,8.53162,R ugm-3,6.486,R ugm-3 (Ref.eq)
02/01/2021,11:00:00,7.475,R ugm-3 (FIDAS),322.3,P deg,2.8,P ms-1,0.3,P degC,17.18928,R ugm-3,35.30918,R ugm-3,61.66571,R ugm-3,16.46453,R ugm-3,5.755,R ugm-3 (Ref.eq)
02/01/2021,12:00:00,7.5,R ugm-3 (FIDAS),332.9,P deg,3.1,P ms-1,1.6,P degC,14.42672,R ugm-3,40.29707,R ugm-3,62.41773,R ugm-3,17.16302,R ugm-3,5.307,R ugm-3 (Ref.eq)
02/01/2021,13:00:00,4.525,R ugm-3 (FIDAS),341.9,P deg,3.7,P ms-1,2.1,P degC,6.87571,R ugm-3,26.1184,R ugm-3,36.66102,R ugm-3,34.92475,R ugm-3,3.278,R ugm-3 (Ref.eq)
02/01/2021,14:00:00,5.35,R ugm-3 (FIDAS),351.9,P deg,3.8,P ms-1,1.8,P degC,7.64309,R ugm-3,21.83969,R ugm-3,33.55893,R ugm-3,39.76432,R ugm-3,3.349,R ugm-3 (Ref.eq)
02/01/2021,15:00:00,7.525,R ugm-3 (FIDAS),350.2,P deg,2.9,P ms-1,1.2,P degC,6.3232,R ugm-3,31.05469,R ugm-3,40.75013,R ugm-3,36.77077,R ugm-3,5.495,R ugm-3 (Ref.eq)
02/01/2021,16:00:00,12.625,R ugm-3 (FIDAS),336.9,P deg,2.5,P ms-1,0,P degC,4.97262,R ugm-3,35.38163,R ugm-3,43.00619,R ugm-3,28.93765,R ugm-3,9.316,R ugm-3 (Ref.eq)
02/01/2021,17:00:00,15.125,R ugm-3 (FIDAS),341.7,P deg,3.2,P ms-1,-0.6,P degC,6.9371,R ugm-3,36.83457,R ugm-3,47.47132,R ugm-3,23.9484,R ugm-3,11.958,R ugm-3 (Ref.eq)
02/01/2021,18:00:00,20.6,R ugm-3 (FIDAS),348.9,P deg,3.5,P ms-1,-1,P degC,12.12458,R ugm-3,41.4299,R ugm-3,60.02067,R ugm-3,13.3213,R ugm-3,16.675,R ugm-3 (Ref.eq)
02/01/2021,19:00:00,18.925,R ugm-3 (FIDAS),353,P deg,3.8,P ms-1,-0.8,P degC,5.95486,R ugm-3,33.31152,R ugm-3,42.44218,R ugm-3,17.06324,R ugm-3,15.778,R ugm-3 (Ref.eq)
02/01/2021,20:00:00,16.125,R ugm-3 (FIDAS),353.2,P deg,3.8,P ms-1,0.3,P degC,4.4508,R ugm-3,29.50755,R ugm-3,36.33201,R ugm-3,21.15442,R ugm-3,13.892,R ugm-3 (Ref.eq)
02/01/2021,21:00:00,15.5,R ugm-3 (FIDAS),344.6,P deg,3.4,P ms-1,-0.6,P degC,3.1923,R ugm-3,24.24602,R ugm-3,29.14081,R ugm-3,21.25421,R ugm-3,13.75,R ugm-3 (Ref.eq)
02/01/2021,22:00:00,15.875,R ugm-3 (FIDAS),351.7,P deg,3.4,P ms-1,-0.3,P degC,2.24075,R ugm-3,30.82819,R ugm-3,34.26395,R ugm-3,14.31915,R ugm-3,14.646,R ugm-3 (Ref.eq)
02/01/2021,23:00:00,16.95,R ugm-3 (FIDAS),359.1,P deg,3.7,P ms-1,0.8,P degC,1.31989,R ugm-3,33.36818,R ugm-3,35.39198,R ugm-3,14.21936,R ugm-3,15.189,R ugm-3 (Ref.eq)
02/01/2021,24:00:00,20.625,R ugm-3 (FIDAS),13.3,P deg,4,P ms-1,1.6,P degC,0.58321,R ugm-3,28.43457,R ugm-3,29.32881,R ugm-3,18.36044,R ugm-3,18.019,R ugm-3 (Ref.eq)
03/01/2021,01:00:00,16.425,R ugm-3 (FIDAS),349.7,P deg,3.2,P ms-1,-0.5,P degC,0.40957,R ugm-3,20.06724,R ugm-3,20.69523,R ugm-3,26.07715,R ugm-3,14.222,R ugm-3 (Ref.eq)
03/01/2021,02:00:00,10.575,R ugm-3 (FIDAS),0.3,P deg,4.1,P ms-1,-0.6,P degC,0.24574,R ugm-3,12.35391,R ugm-3,12.7307,R ugm-3,39.44834,R ugm-3,9.292,R ugm-3 (Ref.eq)
03/01/2021,03:00:00,8.55,R ugm-3 (FIDAS),8.5,P deg,4.2,P ms-1,-0.7,P degC,0.15359,R ugm-3,8.84218,R ugm-3,9.07768,R ugm-3,43.95529,R ugm-3,7.571,R ugm-3 (Ref.eq)
03/01/2021,04:00:00,8.1,R ugm-3 (FIDAS),27.7,P deg,4.5,P ms-1,-0.3,P degC,0.15359,R ugm-3,7.61928,R ugm-3,7.85478,R ugm-3,45.05293,R ugm-3,6.769,R ugm-3 (Ref.eq)
03/01/2021,05:00:00,7.625,R ugm-3 (FIDAS),35.4,P deg,5.5,P ms-1,0.9,P degC,0.12287,R ugm-3,6.91383,R ugm-3,7.10223,R ugm-3,45.30239,R ugm-3,6.274,R ugm-3 (Ref.eq)
03/01/2021,06:00:00,6.925,R ugm-3 (FIDAS),39.1,P deg,5.6,P ms-1,1.1,P degC,0.24574,R ugm-3,6.9606,R ugm-3,7.3374,R ugm-3,45.10282,R ugm-3,6.061,R ugm-3 (Ref.eq)
03/01/2021,07:00:00,6.375,R ugm-3 (FIDAS),32.6,P deg,5.2,P ms-1,1.6,P degC,0.33789,R ugm-3,6.91337,R ugm-3,7.43147,R ugm-3,45.05293,R ugm-3,5.637,R ugm-3 (Ref.eq)
03/01/2021,08:00:00,7.2,R ugm-3 (FIDAS),32.8,P deg,4.6,P ms-1,0.8,P degC,0.46076,R ugm-3,8.46526,R ugm-3,9.17175,R ugm-3,42.20906,R ugm-3,6.156,R ugm-3 (Ref.eq)
03/01/2021,09:00:00,8.3,R ugm-3 (FIDAS),30.7,P deg,4.7,P ms-1,0.8,P degC,0.46076,R ugm-3,9.78223,R ugm-3,10.48872,R ugm-3,39.56475,R ugm-3,7.052,R ugm-3 (Ref.eq)
