End Date,End Time,PM10,Status/units,M_DIR,Status/units,M_SPED,Status/units,M_T,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,O3,Status/units,PM25,Status/units
01/01/2020,01:00:00,24,R ugm-3 (FIDAS),124,P deg,3.1,P ms-1,4,P degC,0.45931,R ugm-3,15.69688,R ugm-3,16.40115,R ugm-3,36.18869,R ugm-3,20.094,R ugm-3 (Ref.eq)
01/01/2020,02:00:00,23.55,R ugm-3 (FIDAS),144.1,P deg,3.4,P ms-1,3.8,P degC,,,,,,,25.14582,R ugm-3,19.481,R ugm-3 (Ref.eq)
01/01/2020,03:00:00,23.35,R ugm-3 (FIDAS),148.1,P deg,2.9,P ms-1,3.2,P degC,0.66809,R ugm-3,19.04289,R ugm-3,20.06728,R ugm-3,31.88131,R ugm-3,19.151,R ugm-3 (Ref.eq)
01/01/2020,04:00:00,26.4,R ugm-3 (FIDAS),141.9,P deg,2.3,P ms-1,2.6,P degC,0.78292,R ugm-3,21.71291,R ugm-3,22.91336,R ugm-3,27.14152,R ugm-3,21.533,R ugm-3 (Ref.eq)
01/01/2020,05:00:00,29.45,R ugm-3 (FIDAS),130.6,P deg,2.1,P ms-1,2.4,P degC,0.90819,R ugm-3,23.93277,R ugm-3,25.3253,R ugm-3,21.55356,R ugm-3,24.764,R ugm-3 (Ref.eq)
01/01/2020,06:00:00,36.75,R ugm-3 (FIDAS),134.1,P deg,2.1,P ms-1,1.8,P degC,1.97295,R ugm-3,29.34299,R ugm-3,32.36814,R ugm-3,13.37119,R ugm-3,31.25,R ugm-3 (Ref.eq)
01/01/2020,07:00:00,40.375,R ugm-3 (FIDAS),147.4,P deg,1.2,P ms-1,1.1,P degC,6.5452,R ugm-3,38.10636,R ugm-3,48.14219,R ugm-3,5.43828,R ugm-3,35.566,R ugm-3 (Ref.eq)
01/01/2020,08:00:00,39.65,R ugm-3 (FIDAS),152.6,P deg,1.9,P ms-1,0.7,P degC,3.53879,R ugm-3,29.78815,R ugm-3,35.21422,R ugm-3,11.47528,R ugm-3,34.576,R ugm-3 (Ref.eq)
01/01/2020,09:00:00,40.15,R ugm-3 (FIDAS),213.9,P deg,1.8,P ms-1,0.5,P degC,4.16513,R ugm-3,25.78875,R ugm-3,32.17519,R ugm-3,18.01119,R ugm-3,35.307,R ugm-3 (Ref.eq)
01/01/2020,10:00:00,31.625,R ugm-3 (FIDAS),213.5,P deg,2,P ms-1,0.9,P degC,3.13167,R ugm-3,19.75165,R ugm-3,24.55348,R ugm-3,26.14367,R ugm-3,27.807,R ugm-3 (Ref.eq)
01/01/2020,11:00:00,31.5,R ugm-3 (FIDAS),215.6,P deg,2.7,P ms-1,1.4,P degC,12.77723,R ugm-3,26.86236,R ugm-3,46.45383,R ugm-3,21.25421,R ugm-3,27.335,R ugm-3 (Ref.eq)
01/01/2020,12:00:00,36.175,R ugm-3 (FIDAS),228,P deg,2,P ms-1,1.7,P degC,5.35516,R ugm-3,24.34996,R ugm-3,32.5611,R ugm-3,20.20646,R ugm-3,31.321,R ugm-3 (Ref.eq)
01/01/2020,13:00:00,34.525,R ugm-3 (FIDAS),220,P deg,2.1,P ms-1,2.4,P degC,11.14876,R ugm-3,21.64112,R ugm-3,38.73565,R ugm-3,21.85292,R ugm-3,29.859,R ugm-3 (Ref.eq)
01/01/2020,14:00:00,25.05,R ugm-3 (FIDAS),219.2,P deg,2.4,P ms-1,2.8,P degC,9.1758,R ugm-3,17.81639,R ugm-3,31.88576,R ugm-3,34.77507,R ugm-3,20.92,R ugm-3 (Ref.eq)
01/01/2020,15:00:00,23.625,R ugm-3 (FIDAS),176.8,P deg,2.2,P ms-1,3.1,P degC,6.79573,R ugm-3,19.43976,R ugm-3,29.85973,R ugm-3,33.72733,R ugm-3,19.623,R ugm-3 (Ref.eq)
01/01/2020,16:00:00,19.4,R ugm-3 (FIDAS),198.7,P deg,1.9,P ms-1,3.5,P degC,8.51815,R ugm-3,22.00852,R ugm-3,35.06951,R ugm-3,31.58195,R ugm-3,16.368,R ugm-3 (Ref.eq)
01/01/2020,17:00:00,16.975,R ugm-3 (FIDAS),220.4,P deg,2.3,P ms-1,3.8,P degC,5.57438,R ugm-3,23.48321,R ugm-3,32.03047,R ugm-3,31.48217,R ugm-3,14.198,R ugm-3 (Ref.eq)
01/01/2020,18:00:00,18.825,R ugm-3 (FIDAS),224.7,P deg,2.7,P ms-1,4,P degC,5.73096,R ugm-3,23.24312,R ugm-3,32.03047,R ugm-3,29.08733,R ugm-3,15.991,R ugm-3 (Ref.eq)
01/01/2020,19:00:00,21.275,R ugm-3 (FIDAS),222.3,P deg,2.8,P ms-1,4.3,P degC,3.66406,R ugm-3,25.01341,R ugm-3,30.63155,R ugm-3,26.44303,R ugm-3,18.113,R ugm-3 (Ref.eq)
01/01/2020,20:00:00,32.3,R ugm-3 (FIDAS),214.1,P deg,3.6,P ms-1,4.7,P degC,5.6057,R ugm-3,21.89156,R ugm-3,30.48684,R ugm-3,21.60345,R ugm-3,27.618,R ugm-3 (Ref.eq)
01/01/2020,21:00:00,34.85,R ugm-3 (FIDAS),211.9,P deg,5,P ms-1,5,P degC,2.41139,R ugm-3,22.35147,R ugm-3,26.04888,R ugm-3,20.05679,R ugm-3,30.543,R ugm-3 (Ref.eq)
01/01/2020,22:00:00,35.125,R ugm-3 (FIDAS),217.7,P deg,5.6,P ms-1,5.1,P degC,2.34876,R ugm-3,18.97432,R ugm-3,22.5757,R ugm-3,22.15227,R ugm-3,30.873,R ugm-3 (Ref.eq)
01/01/2020,23:00:00,35.35,R ugm-3 (FIDAS),220.2,P deg,5.8,P ms-1,5.3,P degC,1.22135,R ugm-3,18.484,R ugm-3,20.35672,R ugm-3,22.30195,R ugm-3,31.297,R ugm-3 (Ref.eq)
