End Date,End Time,PM10,Status/units,M_DIR,Status/units,M_SPED,Status/units,M_T,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,O3,Status/units,PM25,Status/units
01/01/2024,01:00:00,5.75,R ugm-3 (FIDAS),262.5,P deg,8.1,P ms-1,5.7,P degC,0.72889,R ugm-3,1.46972,R ugm-3,2.58734,R ugm-3,68.31946,R ugm-3,3.609,R ugm-3 (Ref.eq)
01/01/2024,02:00:00,4.825,R ugm-3 (FIDAS),259,P deg,8.3,P ms-1,5.6,P degC,1.36667,R ugm-3,2.10015,R ugm-3,4.19568,R ugm-3,69.71645,R ugm-3,2.736,R ugm-3 (Ref.eq)
01/01/2024,03:00:00,4.35,R ugm-3 (FIDAS),270.2,P deg,8.1,P ms-1,5.8,P degC,0.95667,R ugm-3,1.36521,R ugm-3,2.83208,R ugm-3,67.95359,R ugm-3,2.5,R ugm-3 (Ref.eq)
01/01/2024,04:00:00,4.4,R ugm-3 (FIDAS),265.9,P deg,7,P ms-1,5.5,P degC,0.7175,R ugm-3,1.36481,R ugm-3,2.46496,R ugm-3,65.70842,R ugm-3,2.359,R ugm-3 (Ref.eq)
01/01/2024,05:00:00,4.8,R ugm-3 (FIDAS),260.9,P deg,6.7,P ms-1,4.9,P degC,0.75167,R ugm-3,1.05019,R ugm-3,2.20273,R ugm-3,64.36133,R ugm-3,2.264,R ugm-3 (Ref.eq)
01/01/2024,06:00:00,4.125,R ugm-3 (FIDAS),258.1,P deg,5.9,P ms-1,4.6,P degC,0.3075,R ugm-3,0.83965,R ugm-3,1.31115,R ugm-3,65.65853,R ugm-3,2.17,R ugm-3 (Ref.eq)
01/01/2024,07:00:00,5.45,R ugm-3 (FIDAS),267.5,P deg,6.6,P ms-1,4.4,P degC,0.78584,R ugm-3,1.46981,R ugm-3,2.67474,R ugm-3,65.60864,R ugm-3,2.736,R ugm-3 (Ref.eq)
01/01/2024,08:00:00,5.75,R ugm-3 (FIDAS),272.7,P deg,7.2,P ms-1,4.4,P degC,0.7175,R ugm-3,2.41373,R ugm-3,3.51388,R ugm-3,62.26584,R ugm-3,3.019,R ugm-3 (Ref.eq)
01/01/2024,09:00:00,8.025,R ugm-3 (FIDAS),267.3,P deg,6.9,P ms-1,4.1,P degC,1.05917,R ugm-3,5.98063,R ugm-3,7.60467,R ugm-3,54.68218,R ugm-3,3.915,R ugm-3 (Ref.eq)
01/01/2024,10:00:00,13.05,R ugm-3 (FIDAS),265.8,P deg,7.4,P ms-1,4.8,P degC,2.15251,R ugm-3,6.08737,R ugm-3,9.38783,R ugm-3,55.13121,R ugm-3,6.038,R ugm-3 (Ref.eq)
01/01/2024,11:00:00,13.25,R ugm-3 (FIDAS),262.5,P deg,7.2,P ms-1,5.8,P degC,1.91334,R ugm-3,4.61847,R ugm-3,7.55222,R ugm-3,61.71702,R ugm-3,6.085,R ugm-3 (Ref.eq)
01/01/2024,12:00:00,13.7,R ugm-3 (FIDAS),248.4,P deg,7,P ms-1,6,P degC,5.15918,R ugm-3,7.8756,R ugm-3,15.78624,R ugm-3,56.5282,R ugm-3,6.415,R ugm-3 (Ref.eq)
01/01/2024,13:00:00,13.375,R ugm-3 (FIDAS),240.6,P deg,5.9,P ms-1,6,P degC,3.69001,R ugm-3,13.17017,R ugm-3,18.82811,R ugm-3,47.64734,R ugm-3,6.91,R ugm-3 (Ref.eq)
01/01/2024,14:00:00,16.05,R ugm-3 (FIDAS),203.6,P deg,3.5,P ms-1,5.6,P degC,4.47585,R ugm-3,23.66069,R ugm-3,30.52356,R ugm-3,37.61895,R ugm-3,8.42,R ugm-3 (Ref.eq)
01/01/2024,15:00:00,13.825,R ugm-3 (FIDAS),197.7,P deg,5.4,P ms-1,5.8,P degC,3.65585,R ugm-3,20.30276,R ugm-3,25.90831,R ugm-3,44.20476,R ugm-3,6.627,R ugm-3 (Ref.eq)
01/01/2024,16:00:00,11.175,R ugm-3 (FIDAS),185.6,P deg,6.1,P ms-1,6.1,P degC,2.42584,R ugm-3,17.73083,R ugm-3,21.4504,R ugm-3,42.95744,R ugm-3,5.425,R ugm-3 (Ref.eq)
01/01/2024,17:00:00,8.675,R ugm-3 (FIDAS),169.5,P deg,6.6,P ms-1,6.6,P degC,1.025,R ugm-3,12.58876,R ugm-3,14.16041,R ugm-3,50.34153,R ugm-3,5.519,R ugm-3 (Ref.eq)
01/01/2024,18:00:00,6.475,R ugm-3 (FIDAS),167.4,P deg,8.3,P ms-1,7.2,P degC,0.58084,R ugm-3,9.28392,R ugm-3,10.17452,R ugm-3,55.43057,R ugm-3,4.764,R ugm-3 (Ref.eq)
01/01/2024,19:00:00,4.3,R ugm-3 (FIDAS),177.1,P deg,8.7,P ms-1,7.9,P degC,0.58084,R ugm-3,7.5532,R ugm-3,8.4438,R ugm-3,58.62369,R ugm-3,3.349,R ugm-3 (Ref.eq)
01/01/2024,20:00:00,2.475,R ugm-3 (FIDAS),171.9,P deg,9.3,P ms-1,8.2,P degC,0.64917,R ugm-3,7.7631,R ugm-3,8.75848,R ugm-3,59.62154,R ugm-3,2.123,R ugm-3 (Ref.eq)
01/01/2024,21:00:00,1.775,R ugm-3 (FIDAS),185.5,P deg,9.4,P ms-1,8.9,P degC,0.41,R ugm-3,5.76975,R ugm-3,6.39841,R ugm-3,63.76262,R ugm-3,1.344,R ugm-3 (Ref.eq)
01/01/2024,22:00:00,1.3,R ugm-3 (FIDAS),198,P deg,7.8,P ms-1,9.4,P degC,0.58084,R ugm-3,4.56378,R ugm-3,5.45438,R ugm-3,66.35703,R ugm-3,0.849,R ugm-3 (Ref.eq)
01/01/2024,23:00:00,1.35,R ugm-3 (FIDAS),227.3,P deg,8.8,P ms-1,10.1,P degC,0.41,R ugm-3,4.56349,R ugm-3,5.19215,R ugm-3,67.00563,R ugm-3,0.802,R ugm-3 (Ref.eq)
01/01/2024,24:00:00,0.9,R ugm-3 (FIDAS),241.3,P deg,8.1,P ms-1,10.4,P degC,0.44417,R ugm-3,3.2524,R ugm-3,3.93345,R ugm-3,72.09466,R ugm-3,0.542,R ugm-3 (Ref.eq)
