End Date,End Time,M_DIR,Status/units,M_SPED,Status/units,M_T,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,NV25,Status/units,O3,Status/units,PM25,Status/units,V25,Status/units
01/01/2016,01:00:00,234.2,P deg,2.7,P ms-1,1.6,P degC,3.50616,R ugm-3,10.64115,R ugm-3,16.01719,R ugm-3,13.2,R ugm-3 (TEOM FDMS),47.73714,R ugm-3,9.65,R ugm-3 (TEOM FDMS),-0.4,R ugm-3 (TEOM FDMS)
01/01/2016,02:00:00,221.1,P deg,2.5,P ms-1,1,P degC,1.21071,R ugm-3,12.36686,R ugm-3,14.22326,R ugm-3,6.3,R ugm-3 (TEOM FDMS),51.74983,R ugm-3,4.75,R ugm-3 (TEOM FDMS),1.6,R ugm-3 (TEOM FDMS)
01/01/2016,03:00:00,194.7,P deg,2,P ms-1,0.5,P degC,2.22269,R ugm-3,17.87901,R ugm-3,21.28708,R ugm-3,4.5,R ugm-3 (TEOM FDMS),39.1237,R ugm-3,4.15,R ugm-3 (TEOM FDMS),2.8,R ugm-3 (TEOM FDMS)
01/01/2016,04:00:00,174.7,P deg,1.7,P ms-1,0.3,P degC,6.44917,R ugm-3,29.70591,R ugm-3,39.59449,R ugm-3,10.1,R ugm-3 (TEOM FDMS),19.30241,R ugm-3,7.45,R ugm-3 (TEOM FDMS),0.5,R ugm-3 (TEOM FDMS)
01/01/2016,05:00:00,157.1,P deg,2.5,P ms-1,0,P degC,7.51374,R ugm-3,39.27032,R ugm-3,50.79122,R ugm-3,11.3,R ugm-3 (TEOM FDMS),5.08504,R ugm-3,10.65,R ugm-3 (TEOM FDMS),2.5,R ugm-3 (TEOM FDMS)
01/01/2016,06:00:00,160.5,P deg,2.3,P ms-1,-0.1,P degC,2.28505,R ugm-3,28.49816,R ugm-3,32.00186,R ugm-3,7.8,R ugm-3 (TEOM FDMS),9.85876,R ugm-3,6.55,R ugm-3 (TEOM FDMS),1.9,R ugm-3 (TEOM FDMS)
01/01/2016,07:00:00,164.2,P deg,2.8,P ms-1,-0.1,P degC,2.31655,R ugm-3,30.99732,R ugm-3,34.54931,R ugm-3,7.9,R ugm-3 (TEOM FDMS),8.354,R ugm-3,5.75,R ugm-3 (TEOM FDMS),1,R ugm-3 (TEOM FDMS)
01/01/2016,08:00:00,151.6,P deg,2.6,P ms-1,-0.1,P degC,4.13231,R ugm-3,23.45586,R ugm-3,29.79197,R ugm-3,7.4,R ugm-3 (TEOM FDMS),19.50996,R ugm-3,6.25,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
01/01/2016,09:00:00,131.3,P deg,3.3,P ms-1,0.1,P degC,0.90803,R ugm-3,20.99973,R ugm-3,22.39203,R ugm-3,8.2,R ugm-3 (TEOM FDMS),25.89221,R ugm-3,6.65,R ugm-3 (TEOM FDMS),1.6,R ugm-3 (TEOM FDMS)
01/01/2016,10:00:00,133.5,P deg,4.2,P ms-1,0.9,P degC,1.75308,R ugm-3,21.91438,R ugm-3,24.6024,R ugm-3,7.3,R ugm-3 (TEOM FDMS),27.76019,R ugm-3,5.35,R ugm-3 (TEOM FDMS),1.2,R ugm-3 (TEOM FDMS)
01/01/2016,11:00:00,137.5,P deg,5.4,P ms-1,2,P degC,2.09765,R ugm-3,15.86084,R ugm-3,19.07719,R ugm-3,8,R ugm-3 (TEOM FDMS),36.32174,R ugm-3,6.85,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
01/01/2016,12:00:00,138,P deg,6.7,P ms-1,3,P degC,2.53576,R ugm-3,17.49507,R ugm-3,21.38318,R ugm-3,7.2,R ugm-3 (TEOM FDMS),41.14734,R ugm-3,7.85,R ugm-3 (TEOM FDMS),3.8,R ugm-3 (TEOM FDMS)
01/01/2016,13:00:00,138.1,P deg,7.1,P ms-1,3.4,P degC,2.75497,R ugm-3,17.83215,R ugm-3,22.05638,R ugm-3,6.3,R ugm-3 (TEOM FDMS),44.77952,R ugm-3,8.65,R ugm-3 (TEOM FDMS),5.5,R ugm-3 (TEOM FDMS)
01/01/2016,14:00:00,136.7,P deg,8.1,P ms-1,3.7,P degC,2.50489,R ugm-3,18.31123,R ugm-3,22.15201,R ugm-3,5.1,R ugm-3 (TEOM FDMS),46.33616,R ugm-3,5.85,R ugm-3 (TEOM FDMS),3.9,R ugm-3 (TEOM FDMS)
01/01/2016,15:00:00,137,P deg,7.5,P ms-1,3.8,P degC,1.84694,R ugm-3,23.01981,R ugm-3,25.85174,R ugm-3,7.7,R ugm-3 (TEOM FDMS),38.76049,R ugm-3,7.95,R ugm-3 (TEOM FDMS),3.4,R ugm-3 (TEOM FDMS)
01/01/2016,16:00:00,134.8,P deg,7.8,P ms-1,4.5,P degC,1.18992,R ugm-3,25.32485,R ugm-3,27.14937,R ugm-3,8,R ugm-3 (TEOM FDMS),36.37363,R ugm-3,10.85,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS)
01/01/2016,17:00:00,140.3,P deg,8.6,P ms-1,5.2,P degC,1.00189,R ugm-3,23.06618,R ugm-3,24.6024,R ugm-3,8.5,R ugm-3 (TEOM FDMS),38.76049,R ugm-3,8.95,R ugm-3 (TEOM FDMS),3.6,R ugm-3 (TEOM FDMS)
01/01/2016,18:00:00,139.8,P deg,8.9,P ms-1,6.2,P degC,0.93922,R ugm-3,21.04802,R ugm-3,22.48813,R ugm-3,7.8,R ugm-3 (TEOM FDMS),41.19923,R ugm-3,10.85,R ugm-3 (TEOM FDMS),6.2,R ugm-3 (TEOM FDMS)
01/01/2016,19:00:00,135.7,P deg,9.5,P ms-1,6.1,P degC,1.09607,R ugm-3,22.48861,R ugm-3,24.16922,R ugm-3,7.3,R ugm-3 (TEOM FDMS),37.20384,R ugm-3,7.65,R ugm-3 (TEOM FDMS),3.5,R ugm-3 (TEOM FDMS)
01/01/2016,20:00:00,132.6,P deg,10.5,P ms-1,6.2,P degC,0.65733,R ugm-3,14.89742,R ugm-3,15.90531,R ugm-3,8.5,R ugm-3 (TEOM FDMS),43.84553,R ugm-3,8.55,R ugm-3 (TEOM FDMS),3.2,R ugm-3 (TEOM FDMS)
01/01/2016,21:00:00,134.4,P deg,10.8,P ms-1,6.4,P degC,0.62615,R ugm-3,14.2247,R ugm-3,15.18477,R ugm-3,8,R ugm-3 (TEOM FDMS),45.97295,R ugm-3,12.15,R ugm-3 (TEOM FDMS),7.3,R ugm-3 (TEOM FDMS)
01/01/2016,22:00:00,137.3,P deg,10.2,P ms-1,6.5,P degC,0.72,R ugm-3,15.95455,R ugm-3,17.05854,R ugm-3,8.2,R ugm-3 (TEOM FDMS),45.03896,R ugm-3,12.05,R ugm-3 (TEOM FDMS),7,R ugm-3 (TEOM FDMS)
01/01/2016,23:00:00,134.8,P deg,10.1,P ms-1,6.8,P degC,0.71969,R ugm-3,18.30932,R ugm-3,19.41283,R ugm-3,9.5,R ugm-3 (TEOM FDMS),42.13322,R ugm-3,11.75,R ugm-3 (TEOM FDMS),5.4,R ugm-3 (TEOM FDMS)
01/01/2016,24:00:00,139.2,P deg,10,P ms-1,7.3,P degC,0.43843,R ugm-3,10.66793,R ugm-3,11.34017,R ugm-3,9.2,R ugm-3 (TEOM FDMS),50.124,R ugm-3,11.65,R ugm-3 (TEOM FDMS),5.6,R ugm-3 (TEOM FDMS)
02/01/2016,01:00:00,142.1,P deg,9.8,P ms-1,7.4,P degC,0.37544,R ugm-3,8.57693,R ugm-3,9.15259,R ugm-3,7.5,R ugm-3 (TEOM FDMS),52.07646,R ugm-3,10.15,R ugm-3 (TEOM FDMS),5.8,R ugm-3 (TEOM FDMS)
02/01/2016,02:00:00,137.8,P deg,9.8,P ms-1,7.8,P degC,0.45859,R ugm-3,,,,,8.8,R ugm-3 (TEOM FDMS),50.899,R ugm-3,8.85,R ugm-3 (TEOM FDMS),3.2,R ugm-3 (TEOM FDMS)
02/01/2016,03:00:00,141,P deg,9.1,P ms-1,8.2,P degC,0.46899,R ugm-3,8.40161,R ugm-3,9.12071,R ugm-3,9.5,R ugm-3 (TEOM FDMS),48.97747,R ugm-3,12.35,R ugm-3 (TEOM FDMS),6,R ugm-3 (TEOM FDMS)
02/01/2016,04:00:00,138.1,P deg,9.9,P ms-1,8.3,P degC,0.50017,R ugm-3,7.15371,R ugm-3,7.92062,R ugm-3,8.3,R ugm-3 (TEOM FDMS),48.25004,R ugm-3,10.75,R ugm-3 (TEOM FDMS),5.6,R ugm-3 (TEOM FDMS)
02/01/2016,05:00:00,139.4,P deg,9.8,P ms-1,8.8,P degC,0.4378,R ugm-3,6.33659,R ugm-3,7.00788,R ugm-3,5.9,R ugm-3 (TEOM FDMS),48.4057,R ugm-3,6.95,R ugm-3 (TEOM FDMS),4.2,R ugm-3 (TEOM FDMS)
02/01/2016,06:00:00,139.7,P deg,9.3,P ms-1,8.8,P degC,0.46899,R ugm-3,6.86492,R ugm-3,7.58402,R ugm-3,8.1,R ugm-3 (TEOM FDMS),47.41883,R ugm-3,9.35,R ugm-3 (TEOM FDMS),4.4,R ugm-3 (TEOM FDMS)
02/01/2016,07:00:00,144.7,P deg,9,P ms-1,8.9,P degC,0.59434,R ugm-3,9.93783,R ugm-3,10.84913,R ugm-3,8.6,R ugm-3 (TEOM FDMS),44.40732,R ugm-3,10.25,R ugm-3 (TEOM FDMS),4.8,R ugm-3 (TEOM FDMS)
02/01/2016,08:00:00,149.2,P deg,9.7,P ms-1,9.1,P degC,0.87561,R ugm-3,16.08317,R ugm-3,17.42574,R ugm-3,9.3,R ugm-3 (TEOM FDMS),37.34304,R ugm-3,11.05,R ugm-3 (TEOM FDMS),4.9,R ugm-3 (TEOM FDMS)
02/01/2016,09:00:00,148.5,P deg,10,P ms-1,9.1,P degC,0.81324,R ugm-3,12.2902,R ugm-3,13.53715,R ugm-3,7.5,R ugm-3 (TEOM FDMS),41.39481,R ugm-3,6.85,R ugm-3 (TEOM FDMS),2.5,R ugm-3 (TEOM FDMS)
02/01/2016,10:00:00,143.9,P deg,8.8,P ms-1,9.2,P degC,0.93797,R ugm-3,11.81112,R ugm-3,13.24932,R ugm-3,6,R ugm-3 (TEOM FDMS),43.88744,R ugm-3,6.35,R ugm-3 (TEOM FDMS),3.5,R ugm-3 (TEOM FDMS)
02/01/2016,11:00:00,135.1,P deg,9.2,P ms-1,9.1,P degC,1.46994,R ugm-3,13.68346,R ugm-3,15.93734,R ugm-3,-0.7,R ugm-3 (TEOM FDMS),45.13475,R ugm-3,1.35,R ugm-3 (TEOM FDMS),5.2,R ugm-3 (TEOM FDMS)
02/01/2016,12:00:00,135.2,P deg,7.3,P ms-1,9.1,P degC,2.40822,R ugm-3,20.98156,R ugm-3,24.67412,R ugm-3,6.9,R ugm-3 (TEOM FDMS),41.75803,R ugm-3,5.95,R ugm-3 (TEOM FDMS),2.2,R ugm-3 (TEOM FDMS)
02/01/2016,13:00:00,125.8,P deg,6.7,P ms-1,9.1,P degC,2.53327,R ugm-3,21.22206,R ugm-3,25.10634,R ugm-3,6.6,R ugm-3 (TEOM FDMS),43.628,R ugm-3,6.45,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
02/01/2016,14:00:00,118,P deg,6.1,P ms-1,8.8,P degC,2.34555,R ugm-3,27.26986,R ugm-3,30.86632,R ugm-3,5.6,R ugm-3 (TEOM FDMS),38.33041,R ugm-3,7.65,R ugm-3 (TEOM FDMS),5.2,R ugm-3 (TEOM FDMS)
02/01/2016,15:00:00,104.5,P deg,5,P ms-1,8.6,P degC,1.34459,R ugm-3,22.51634,R ugm-3,24.57802,R ugm-3,3.2,R ugm-3 (TEOM FDMS),43.21289,R ugm-3,6.15,R ugm-3 (TEOM FDMS),6.1,R ugm-3 (TEOM FDMS)
02/01/2016,16:00:00,83.7,P deg,4.2,P ms-1,8.5,P degC,0.81324,R ugm-3,19.68249,R ugm-3,20.92944,R ugm-3,4,R ugm-3 (TEOM FDMS),46.79667,R ugm-3,4.55,R ugm-3 (TEOM FDMS),3.7,R ugm-3 (TEOM FDMS)
02/01/2016,17:00:00,72.5,P deg,3.5,P ms-1,8.3,P degC,0.9071,R ugm-3,21.65093,R ugm-3,23.0418,R ugm-3,4,R ugm-3 (TEOM FDMS),42.12124,R ugm-3,6.15,R ugm-3 (TEOM FDMS),5.3,R ugm-3 (TEOM FDMS)
02/01/2016,18:00:00,49,P deg,3.3,P ms-1,8.2,P degC,2.00192,R ugm-3,22.37195,R ugm-3,25.44151,R ugm-3,5.3,R ugm-3 (TEOM FDMS),39.16162,R ugm-3,6.15,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
02/01/2016,19:00:00,38.8,P deg,3.8,P ms-1,8.1,P degC,7.00577,R ugm-3,26.17304,R ugm-3,36.91508,R ugm-3,7.3,R ugm-3 (TEOM FDMS),34.79902,R ugm-3,5.65,R ugm-3 (TEOM FDMS),1.5,R ugm-3 (TEOM FDMS)
02/01/2016,20:00:00,31.2,P deg,2.9,P ms-1,8,P degC,4.0347,R ugm-3,24.43984,R ugm-3,30.6263,R ugm-3,6.3,R ugm-3 (TEOM FDMS),33.60459,R ugm-3,5.35,R ugm-3 (TEOM FDMS),2.2,R ugm-3 (TEOM FDMS)
02/01/2016,21:00:00,9,P deg,2.5,P ms-1,7.8,P degC,4.44101,R ugm-3,20.93662,R ugm-3,27.74607,R ugm-3,8.2,R ugm-3 (TEOM FDMS),34.59097,R ugm-3,7.15,R ugm-3 (TEOM FDMS),2.1,R ugm-3 (TEOM FDMS)
02/01/2016,22:00:00,15.6,P deg,3.3,P ms-1,7.2,P degC,3.28414,R ugm-3,23.91103,R ugm-3,28.94664,R ugm-3,9.9,R ugm-3 (TEOM FDMS),25.65772,R ugm-3,9.35,R ugm-3 (TEOM FDMS),2.6,R ugm-3 (TEOM FDMS)
02/01/2016,23:00:00,258.6,P deg,3.1,P ms-1,6.4,P degC,2.00129,R ugm-3,30.00569,R ugm-3,33.0743,R ugm-3,10.9,R ugm-3 (TEOM FDMS),20.5153,R ugm-3,10.15,R ugm-3 (TEOM FDMS),2.4,R ugm-3 (TEOM FDMS)
02/01/2016,24:00:00,283.5,P deg,3,P ms-1,7.1,P degC,4.44101,R ugm-3,25.25695,R ugm-3,32.06641,R ugm-3,9.4,R ugm-3 (TEOM FDMS),23.32025,R ugm-3,8.55,R ugm-3 (TEOM FDMS),2.3,R ugm-3 (TEOM FDMS)
03/01/2016,01:00:00,250.3,P deg,3.2,P ms-1,7.4,P degC,3.29121,R ugm-3,34.59713,R ugm-3,39.64358,R ugm-3,12.8,R ugm-3 (TEOM FDMS),13.22617,R ugm-3,14.25,R ugm-3 (TEOM FDMS),4.6,R ugm-3 (TEOM FDMS)
03/01/2016,02:00:00,254.8,P deg,5.3,P ms-1,7.7,P degC,0.95834,R ugm-3,15.53906,R ugm-3,17.0085,R ugm-3,8.6,R ugm-3 (TEOM FDMS),28.04624,R ugm-3,10.55,R ugm-3 (TEOM FDMS),5.1,R ugm-3 (TEOM FDMS)
03/01/2016,03:00:00,253.4,P deg,6.3,P ms-1,7.5,P degC,0.21828,R ugm-3,5.56442,R ugm-3,5.89911,R ugm-3,1.1,R ugm-3 (TEOM FDMS),44.25116,R ugm-3,3.35,R ugm-3 (TEOM FDMS),5.4,R ugm-3 (TEOM FDMS)
03/01/2016,04:00:00,241.1,P deg,5.4,P ms-1,7.4,P degC,0.15591,R ugm-3,2.92565,R ugm-3,3.16471,R ugm-3,-1.6,R ugm-3 (TEOM FDMS),61.96249,R ugm-3,0.05,R ugm-3 (TEOM FDMS),4.8,R ugm-3 (TEOM FDMS)
03/01/2016,05:00:00,233.4,P deg,5,P ms-1,6.1,P degC,0.12473,R ugm-3,3.21348,R ugm-3,3.40473,R ugm-3,0.4,R ugm-3 (TEOM FDMS),62.06627,R ugm-3,1.85,R ugm-3 (TEOM FDMS),4.6,R ugm-3 (TEOM FDMS)
03/01/2016,06:00:00,204.6,P deg,4.2,P ms-1,5,P degC,0.46867,R ugm-3,8.4413,R ugm-3,9.15992,R ugm-3,-0.3,R ugm-3 (TEOM FDMS),58.79432,R ugm-3,1.75,R ugm-3 (TEOM FDMS),5.2,R ugm-3 (TEOM FDMS)
03/01/2016,07:00:00,168.5,P deg,4,P ms-1,4.6,P degC,0.31214,R ugm-3,9.16088,R ugm-3,9.63948,R ugm-3,1.4,R ugm-3 (TEOM FDMS),59.52076,R ugm-3,2.15,R ugm-3 (TEOM FDMS),3.9,R ugm-3 (TEOM FDMS)
03/01/2016,08:00:00,159.5,P deg,5.4,P ms-1,4.7,P degC,0.28095,R ugm-3,7.96126,R ugm-3,8.39205,R ugm-3,-0.7,R ugm-3 (TEOM FDMS),61.18317,R ugm-3,0.45,R ugm-3 (TEOM FDMS),4.3,R ugm-3 (TEOM FDMS)
03/01/2016,09:00:00,165.5,P deg,7.7,P ms-1,6.1,P degC,0.34394,R ugm-3,9.49556,R ugm-3,10.02293,R ugm-3,1.5,R ugm-3 (TEOM FDMS),61.59878,R ugm-3,0.45,R ugm-3 (TEOM FDMS),2.1,R ugm-3 (TEOM FDMS)
03/01/2016,10:00:00,161.1,P deg,7.9,P ms-1,7.1,P degC,0.46899,R ugm-3,8.2008,R ugm-3,8.9199,R ugm-3,1.8,R ugm-3 (TEOM FDMS),63.2602,R ugm-3,2.45,R ugm-3 (TEOM FDMS),3.8,R ugm-3 (TEOM FDMS)
03/01/2016,11:00:00,156.6,P deg,8,P ms-1,7.6,P degC,0.56253,R ugm-3,8.24909,R ugm-3,9.11163,R ugm-3,1.7,R ugm-3 (TEOM FDMS),63.20831,R ugm-3,2.85,R ugm-3 (TEOM FDMS),4.3,R ugm-3 (TEOM FDMS)
03/01/2016,12:00:00,159.7,P deg,7.9,P ms-1,8,P degC,0.68726,R ugm-3,9.78387,R ugm-3,10.83766,R ugm-3,0.6,R ugm-3 (TEOM FDMS),62.74132,R ugm-3,3.35,R ugm-3 (TEOM FDMS),5.9,R ugm-3 (TEOM FDMS)
03/01/2016,13:00:00,158.8,P deg,8.4,P ms-1,7.9,P degC,0.68726,R ugm-3,9.63996,R ugm-3,10.69374,R ugm-3,-0.4,R ugm-3 (TEOM FDMS),62.17005,R ugm-3,2.05,R ugm-3 (TEOM FDMS),5.6,R ugm-3 (TEOM FDMS)
03/01/2016,14:00:00,153.2,P deg,7.9,P ms-1,8,P degC,1.06239,R ugm-3,9.92827,R ugm-3,11.55724,R ugm-3,1.4,R ugm-3 (TEOM FDMS),63.46825,R ugm-3,3.45,R ugm-3 (TEOM FDMS),5.2,R ugm-3 (TEOM FDMS)
03/01/2016,15:00:00,177.3,P deg,6.1,P ms-1,8.3,P degC,3.78057,R ugm-3,17.89335,R ugm-3,23.69014,R ugm-3,-0.5,R ugm-3 (TEOM FDMS),66.63692,R ugm-3,4.25,R ugm-3 (TEOM FDMS),7.9,R ugm-3 (TEOM FDMS)
03/01/2016,16:00:00,219.2,P deg,4.5,P ms-1,8,P degC,6.24929,R ugm-3,20.87016,R ugm-3,30.45226,R ugm-3,1.2,R ugm-3 (TEOM FDMS),62.94837,R ugm-3,1.85,R ugm-3 (TEOM FDMS),3.8,R ugm-3 (TEOM FDMS)
03/01/2016,17:00:00,226.7,P deg,4.8,P ms-1,7.7,P degC,5.81148,R ugm-3,35.06473,R ugm-3,43.97555,R ugm-3,2.8,R ugm-3 (TEOM FDMS),46.79617,R ugm-3,2.35,R ugm-3 (TEOM FDMS),2.7,R ugm-3 (TEOM FDMS)
03/01/2016,18:00:00,228.7,P deg,4,P ms-1,7.6,P degC,7.09246,R ugm-3,32.81324,R ugm-3,43.68819,R ugm-3,4.2,R ugm-3 (TEOM FDMS),41.60286,R ugm-3,2.75,R ugm-3 (TEOM FDMS),1.7,R ugm-3 (TEOM FDMS)
03/01/2016,19:00:00,229.4,P deg,4,P ms-1,7.3,P degC,5.46785,R ugm-3,20.72481,R ugm-3,29.10873,R ugm-3,3.4,R ugm-3 (TEOM FDMS),53.08063,R ugm-3,3.15,R ugm-3 (TEOM FDMS),2.9,R ugm-3 (TEOM FDMS)
03/01/2016,20:00:00,222.5,P deg,4.4,P ms-1,6.7,P degC,3.0933,R ugm-3,21.68058,R ugm-3,26.42358,R ugm-3,3.7,R ugm-3 (TEOM FDMS),55.52187,R ugm-3,4.25,R ugm-3 (TEOM FDMS),3.7,R ugm-3 (TEOM FDMS)
03/01/2016,21:00:00,217.6,P deg,5,P ms-1,6.4,P degC,2.99945,R ugm-3,19.85844,R ugm-3,24.45753,R ugm-3,2.8,R ugm-3 (TEOM FDMS),53.54812,R ugm-3,3.65,R ugm-3 (TEOM FDMS),4,R ugm-3 (TEOM FDMS)
03/01/2016,22:00:00,220.5,P deg,5.3,P ms-1,6.6,P degC,4.37459,R ugm-3,33.23925,R ugm-3,39.94687,R ugm-3,3.6,R ugm-3 (TEOM FDMS),39.52534,R ugm-3,3.45,R ugm-3 (TEOM FDMS),3,R ugm-3 (TEOM FDMS)
03/01/2016,23:00:00,212.2,P deg,4.5,P ms-1,6,P degC,2.37455,R ugm-3,33.47688,R ugm-3,37.1178,R ugm-3,5.5,R ugm-3 (TEOM FDMS),35.52546,R ugm-3,3.95,R ugm-3 (TEOM FDMS),1.6,R ugm-3 (TEOM FDMS)
03/01/2016,24:00:00,201.2,P deg,3.7,P ms-1,5.6,P degC,1.09357,R ugm-3,24.65117,R ugm-3,26.32795,R ugm-3,3.5,R ugm-3 (TEOM FDMS),40.71927,R ugm-3,2.55,R ugm-3 (TEOM FDMS),2.2,R ugm-3 (TEOM FDMS)
