End Date,End Time,M_DIR,Status/units,M_SPED,Status/units,M_T,Status/units,NO,Status/units,NO2,Status/units,NOXasNO2,Status/units,NV25,Status/units,O3,Status/units,PM25,Status/units,V25,Status/units
01/01/2017,01:00:00,217.9,P deg,6.1,P ms-1,5.9,P degC,1.18078,R ugm-3,10.79925,R ugm-3,12.60975,R ugm-3,11.3,R ugm-3 (TEOM FDMS),44.03845,R ugm-3,16.4,R ugm-3 (TEOM FDMS),5.1,R ugm-3 (TEOM FDMS)
01/01/2017,02:00:00,218.5,P deg,6.4,P ms-1,6,P degC,2.69209,R ugm-3,14.64019,R ugm-3,18.768,R ugm-3,8.4,R ugm-3 (TEOM FDMS),45.43544,R ugm-3,15.1,R ugm-3 (TEOM FDMS),6.7,R ugm-3 (TEOM FDMS)
01/01/2017,03:00:00,223.6,P deg,7.3,P ms-1,6.6,P degC,2.33806,R ugm-3,9.11641,R ugm-3,12.70139,R ugm-3,7.1,R ugm-3 (TEOM FDMS),44.85336,R ugm-3,14.5,R ugm-3 (TEOM FDMS),7.4,R ugm-3 (TEOM FDMS)
01/01/2017,04:00:00,224,P deg,6.3,P ms-1,6.8,P degC,0.81449,R ugm-3,6.44895,R ugm-3,7.69781,R ugm-3,8.3,R ugm-3 (TEOM FDMS),47.14841,R ugm-3,14.5,R ugm-3 (TEOM FDMS),6.2,R ugm-3 (TEOM FDMS)
01/01/2017,05:00:00,225.8,P deg,6.7,P ms-1,6.9,P degC,1.09794,R ugm-3,6.17929,R ugm-3,7.86277,R ugm-3,8,R ugm-3 (TEOM FDMS),50.49121,R ugm-3,13,R ugm-3 (TEOM FDMS),5,R ugm-3 (TEOM FDMS)
01/01/2017,06:00:00,227.1,P deg,6.6,P ms-1,7.1,P degC,0.5669,R ugm-3,5.56394,R ugm-3,6.43317,R ugm-3,8.4,R ugm-3 (TEOM FDMS),48.69508,R ugm-3,13,R ugm-3 (TEOM FDMS),4.6,R ugm-3 (TEOM FDMS)
01/01/2017,07:00:00,236.3,P deg,5.4,P ms-1,7.2,P degC,0.92082,R ugm-3,5.79105,R ugm-3,7.20295,R ugm-3,9.1,R ugm-3 (TEOM FDMS),47.64734,R ugm-3,14.2,R ugm-3 (TEOM FDMS),5.1,R ugm-3 (TEOM FDMS)
01/01/2017,08:00:00,285.3,P deg,3,P ms-1,7,P degC,1.16903,R ugm-3,7.55485,R ugm-3,9.34734,R ugm-3,5.7,R ugm-3 (TEOM FDMS),48.5953,R ugm-3,10.6,R ugm-3 (TEOM FDMS),4.9,R ugm-3 (TEOM FDMS)
01/01/2017,09:00:00,23.4,P deg,8.3,P ms-1,6.1,P degC,1.09825,R ugm-3,9.14797,R ugm-3,10.83192,R ugm-3,4.4,R ugm-3 (TEOM FDMS),53.08562,R ugm-3,6.6,R ugm-3 (TEOM FDMS),2.2,R ugm-3 (TEOM FDMS)
01/01/2017,10:00:00,33,P deg,8.9,P ms-1,5.4,P degC,0.77894,R ugm-3,8.20797,R ugm-3,9.40233,R ugm-3,4,R ugm-3 (TEOM FDMS),56.32863,R ugm-3,5.8,R ugm-3 (TEOM FDMS),1.8,R ugm-3 (TEOM FDMS)
01/01/2017,11:00:00,35.2,P deg,9.5,P ms-1,4.9,P degC,0.92113,R ugm-3,6.94524,R ugm-3,8.35763,R ugm-3,-1.8,R ugm-3 (TEOM FDMS),69.55015,R ugm-3,-0.6,R ugm-3 (TEOM FDMS),1.2,R ugm-3 (TEOM FDMS)
01/01/2017,12:00:00,35.6,P deg,7.3,P ms-1,4.5,P degC,1.38139,R ugm-3,6.01959,R ugm-3,8.13769,R ugm-3,0.3,R ugm-3 (TEOM FDMS),72.59359,R ugm-3,1.5,R ugm-3 (TEOM FDMS),1.2,R ugm-3 (TEOM FDMS)
01/01/2017,13:00:00,37.3,P deg,6.9,P ms-1,5,P degC,1.52295,R ugm-3,9.7614,R ugm-3,12.09656,R ugm-3,1.9,R ugm-3 (TEOM FDMS),70.84735,R ugm-3,3.1,R ugm-3 (TEOM FDMS),1.2,R ugm-3 (TEOM FDMS)
01/01/2017,14:00:00,21.3,P deg,6.8,P ms-1,4.9,P degC,1.34584,R ugm-3,11.29762,R ugm-3,13.3612,R ugm-3,1.1,R ugm-3 (TEOM FDMS),68.85165,R ugm-3,3.5,R ugm-3 (TEOM FDMS),2.4,R ugm-3 (TEOM FDMS)
01/01/2017,15:00:00,23.4,P deg,6.9,P ms-1,4.2,P degC,2.09016,R ugm-3,9.93639,R ugm-3,13.14127,R ugm-3,4,R ugm-3 (TEOM FDMS),68.70197,R ugm-3,3.3,R ugm-3 (TEOM FDMS),-0.7,R ugm-3 (TEOM FDMS)
01/01/2017,16:00:00,23.7,P deg,7.4,P ms-1,3.9,P degC,1.6296,R ugm-3,12.84196,R ugm-3,15.34064,R ugm-3,3.3,R ugm-3 (TEOM FDMS),65.25939,R ugm-3,3.4,R ugm-3 (TEOM FDMS),0.1,R ugm-3 (TEOM FDMS)
01/01/2017,17:00:00,17.6,P deg,7.6,P ms-1,3.2,P degC,1.02715,R ugm-3,16.07504,R ugm-3,17.64998,R ugm-3,4.8,R ugm-3 (TEOM FDMS),55.58025,R ugm-3,4.3,R ugm-3 (TEOM FDMS),-0.5,R ugm-3 (TEOM FDMS)
01/01/2017,18:00:00,17.9,P deg,6.9,P ms-1,2.8,P degC,1.66515,R ugm-3,12.01767,R ugm-3,14.57086,R ugm-3,5.6,R ugm-3 (TEOM FDMS),55.82971,R ugm-3,5.8,R ugm-3 (TEOM FDMS),0.2,R ugm-3 (TEOM FDMS)
01/01/2017,19:00:00,16.2,P deg,6.5,P ms-1,2.4,P degC,1.77085,R ugm-3,15.3196,R ugm-3,18.03488,R ugm-3,3.7,R ugm-3 (TEOM FDMS),52.5867,R ugm-3,2.7,R ugm-3 (TEOM FDMS),-1,R ugm-3 (TEOM FDMS)
01/01/2017,20:00:00,13.6,P deg,6.1,P ms-1,2,P degC,1.09825,R ugm-3,13.82164,R ugm-3,15.50559,R ugm-3,2.8,R ugm-3 (TEOM FDMS),53.93379,R ugm-3,2.9,R ugm-3 (TEOM FDMS),0.1,R ugm-3 (TEOM FDMS)
01/01/2017,21:00:00,9.8,P deg,5.4,P ms-1,1.7,P degC,0.88527,R ugm-3,13.54337,R ugm-3,14.90077,R ugm-3,5.2,R ugm-3 (TEOM FDMS),51.04003,R ugm-3,5.7,R ugm-3 (TEOM FDMS),0.5,R ugm-3 (TEOM FDMS)
01/01/2017,22:00:00,13.2,P deg,5.5,P ms-1,1.6,P degC,0.84972,R ugm-3,14.2027,R ugm-3,15.50559,R ugm-3,4.5,R ugm-3 (TEOM FDMS),48.99444,R ugm-3,3.6,R ugm-3 (TEOM FDMS),-0.9,R ugm-3 (TEOM FDMS)
01/01/2017,23:00:00,11.2,P deg,5.2,P ms-1,1.4,P degC,1.66483,R ugm-3,14.43746,R ugm-3,16.99017,R ugm-3,7.3,R ugm-3 (TEOM FDMS),49.34368,R ugm-3,7.5,R ugm-3 (TEOM FDMS),0.2,R ugm-3 (TEOM FDMS)
01/01/2017,24:00:00,20,P deg,5.6,P ms-1,1.7,P degC,0.70847,R ugm-3,12.10995,R ugm-3,13.19625,R ugm-3,3.7,R ugm-3 (TEOM FDMS),52.43702,R ugm-3,4.9,R ugm-3 (TEOM FDMS),1.2,R ugm-3 (TEOM FDMS)
02/01/2017,01:00:00,18.7,P deg,4.9,P ms-1,0.7,P degC,0.42533,R ugm-3,11.01472,R ugm-3,11.66689,R ugm-3,2.2,R ugm-3 (TEOM FDMS),55.41394,R ugm-3,1.3,R ugm-3 (TEOM FDMS),-0.9,R ugm-3 (TEOM FDMS)
02/01/2017,02:00:00,22.4,P deg,4.9,P ms-1,0.6,P degC,0.42491,R ugm-3,11.52855,R ugm-3,12.18008,R ugm-3,3.6,R ugm-3 (TEOM FDMS),58.07487,R ugm-3,4.3,R ugm-3 (TEOM FDMS),0.7,R ugm-3 (TEOM FDMS)
02/01/2017,03:00:00,24,P deg,4.7,P ms-1,0.6,P degC,0.49611,R ugm-3,7.54912,R ugm-3,8.30981,R ugm-3,4.1,R ugm-3 (TEOM FDMS),57.52605,R ugm-3,6.1,R ugm-3 (TEOM FDMS),2,R ugm-3 (TEOM FDMS)
02/01/2017,04:00:00,21.4,P deg,4.2,P ms-1,0.4,P degC,0.21267,R ugm-3,7.43341,R ugm-3,7.75949,R ugm-3,3.3,R ugm-3 (TEOM FDMS),58.5239,R ugm-3,3.1,R ugm-3 (TEOM FDMS),-0.2,R ugm-3 (TEOM FDMS)
02/01/2017,05:00:00,21,P deg,4.2,P ms-1,0.2,P degC,0.56721,R ugm-3,7.05473,R ugm-3,7.92444,R ugm-3,0.7,R ugm-3 (TEOM FDMS),56.42842,R ugm-3,1.2,R ugm-3 (TEOM FDMS),0.5,R ugm-3 (TEOM FDMS)
02/01/2017,06:00:00,20.2,P deg,4.1,P ms-1,0,P degC,0.49611,R ugm-3,8.31985,R ugm-3,9.08055,R ugm-3,2.4,R ugm-3 (TEOM FDMS),53.08562,R ugm-3,0.4,R ugm-3 (TEOM FDMS),-2,R ugm-3 (TEOM FDMS)
02/01/2017,07:00:00,16.1,P deg,3.8,P ms-1,-0.2,P degC,2.16282,R ugm-3,18.42168,R ugm-3,21.73795,R ugm-3,4.5,R ugm-3 (TEOM FDMS),41.16131,R ugm-3,3.9,R ugm-3 (TEOM FDMS),-0.6,R ugm-3 (TEOM FDMS)
02/01/2017,08:00:00,1.6,P deg,3.7,P ms-1,-0.6,P degC,1.16966,R ugm-3,16.9175,R ugm-3,18.71094,R ugm-3,5.7,R ugm-3 (TEOM FDMS),40.5626,R ugm-3,5.4,R ugm-3 (TEOM FDMS),-0.3,R ugm-3 (TEOM FDMS)
02/01/2017,09:00:00,346.7,P deg,4.3,P ms-1,-0.7,P degC,2.37548,R ugm-3,14.18836,R ugm-3,17.83072,R ugm-3,3.9,R ugm-3 (TEOM FDMS),44.554,R ugm-3,2,R ugm-3 (TEOM FDMS),-1.9,R ugm-3 (TEOM FDMS)
02/01/2017,10:00:00,354.3,P deg,5.5,P ms-1,0.4,P degC,4.50275,R ugm-3,20.00666,R ugm-3,26.91079,R ugm-3,4.1,R ugm-3 (TEOM FDMS),40.6125,R ugm-3,4.2,R ugm-3 (TEOM FDMS),0.1,R ugm-3 (TEOM FDMS)
02/01/2017,11:00:00,6.5,P deg,6,P ms-1,1.9,P degC,5.88539,R ugm-3,16.12524,R ugm-3,25.14938,R ugm-3,4.5,R ugm-3 (TEOM FDMS),42.70798,R ugm-3,5.6,R ugm-3 (TEOM FDMS),1.1,R ugm-3 (TEOM FDMS)
